timestamp,posture,angle
1775664219.606974,Slouching,159
1775664219.7221508,Slouching,155
1775664219.849259,Slouching,153
1775664219.950572,Slouching,154
1775664220.077779,Slouching,154
1775664220.1837492,Slouching,154
1775664220.2816179,Slouching,154
1775664220.381719,Slouching,150
1775664220.4767418,Slouching,150
1775664220.541014,Slouching,150
1775664220.608392,Slouching,151
1775664220.6779819,Slouching,152
1775664220.7417018,Slouching,154
1775664220.8111832,Slouching,154
1775664220.875239,Slouching,157
1775664220.944521,Slouching,161
1775664221.008737,Slouching,164
1775664221.077425,Slouching,163
1775664221.140317,Slouching,164
1775664221.211065,Good Posture,165
1775664221.275637,Good Posture,170
1775664221.3408399,Good Posture,174
1775664221.4114518,Good Posture,172
1775664221.4758022,Good Posture,171
1775664221.541389,Good Posture,167
1775664221.7609012,Slouching,152
1775664221.845469,Slouching,151
1775664221.9092102,Slouching,161
1775664221.9764779,Slouching,162
1775664222.044192,Slouching,163
1775664222.108831,Slouching,163
1775664222.1783931,Good Posture,166
1775664222.242971,Good Posture,170
1775664222.312298,Good Posture,171
1775664222.376262,Good Posture,171
1775664222.445159,Good Posture,166
1775664222.5096982,Good Posture,165
1775664222.576378,Good Posture,166
1775664222.644182,Good Posture,166
1775664222.709598,Good Posture,165
1775664222.7783868,Slouching,164
1775664222.842655,Slouching,162
1775664222.908407,Slouching,162
1775664222.9768078,Slouching,162
1775664223.044686,Slouching,163
1775664223.1097841,Slouching,163
1775664223.179796,Slouching,164
1775664223.2786381,Slouching,163
1775664223.342182,Slouching,163
1775664223.411368,Slouching,162
1775664223.4777951,Slouching,162
1775664223.5428858,Slouching,162
1775664223.612499,Slouching,163
1775664223.676345,Slouching,163
1775664223.745484,Slouching,164
1775664223.8092601,Good Posture,167
1775664223.878508,Good Posture,169
1775664223.944084,Good Posture,170
1775664224.011509,Good Posture,170
1775664224.07849,Good Posture,171
1775664224.1440651,Good Posture,172
1775664224.211892,Good Posture,174
1775664224.276313,Good Posture,179
1775664224.346005,Good Posture,179
1775664224.410358,Good Posture,178
1775664224.479216,Good Posture,177
1775664224.543573,Good Posture,177
1775664224.6108851,Good Posture,178
1775664224.6774259,Good Posture,178
1775664224.746148,Good Posture,179
1775664224.81019,Good Posture,179
1775664224.879935,Good Posture,177
1775664224.944159,Good Posture,174
1775664225.013209,Good Posture,170
1775664225.07777,Good Posture,169
1775664225.146223,Good Posture,168
1775664225.210698,Good Posture,168
1775664225.279247,Good Posture,168
1775664225.344531,Good Posture,168
1775664225.413631,Good Posture,168
1775664225.4767208,Good Posture,168
1775664225.5453749,Good Posture,168
1775664225.612579,Good Posture,168
1775664225.6772668,Good Posture,169
1775664225.7472692,Good Posture,169
1775664225.810862,Good Posture,169
1775664225.880384,Good Posture,169
1775664225.944771,Good Posture,169
1775664226.012335,Good Posture,169
1775664226.079811,Good Posture,169
1775664226.144028,Good Posture,170
1775664226.213622,Good Posture,171
1775664226.278165,Good Posture,171
1775664226.347233,Good Posture,170
1775664226.411415,Good Posture,170
1775664226.4806101,Good Posture,170
1775664226.544914,Good Posture,170
1775664226.612524,Good Posture,170
1775664226.6788049,Good Posture,170
1775664226.746329,Good Posture,170
1775664226.8120651,Good Posture,170
1775664226.879807,Good Posture,170
1775664226.94532,Good Posture,170
1775664227.013636,Good Posture,171
1775664227.079556,Good Posture,172
1775664227.145262,Good Posture,177
1775664227.2131531,Good Posture,178
1775664227.2797172,Good Posture,178
1775664227.34621,Good Posture,175
1775664227.410892,Good Posture,175
1775664227.516753,Good Posture,170
1775664227.6139379,Good Posture,166
1775664227.6799061,Good Posture,166
1775664227.7474282,Slouching,164
1775664227.812333,Slouching,164
1775664227.8799841,Slouching,164
1775664227.946761,Good Posture,165
1775664228.013206,Good Posture,172
1775664228.080677,Good Posture,176
1775664228.1454458,Good Posture,173
1775664228.213971,Good Posture,167
1775664228.2791958,Good Posture,168
1775664228.346949,Slouching,164
1775664228.414527,Good Posture,165
1775664228.479094,Slouching,164
1775664228.5469089,Slouching,164
1775664228.613191,Slouching,163
1775664228.681052,Slouching,163
1775664228.746187,Slouching,163
1775664228.81355,Slouching,163
1775664228.880812,Slouching,163
1775664228.946698,Slouching,164
1775664229.013561,Slouching,164
1775664229.080721,Slouching,164
1775664229.1471932,Slouching,164
1775664229.2142751,Slouching,164
1775664229.280641,Slouching,163
1775664229.347727,Slouching,163
1775664229.413959,Slouching,163
1775664229.480202,Slouching,163
1775664229.547801,Slouching,163
1775664229.614336,Slouching,163
1775664229.6815732,Slouching,164
1775664229.747597,Good Posture,165
1775664229.815292,Good Posture,165
1775664229.87999,Good Posture,165
1775664229.947069,Good Posture,165
1775664230.053636,Slouching,164
1775664230.150846,Slouching,162
1775664230.247412,Slouching,161
1775664230.314948,Slouching,161
1775664230.3822699,Slouching,162
1775664230.447443,Slouching,162
1775664230.515303,Slouching,163
1775664230.581202,Good Posture,165
1775664230.6503072,Good Posture,168
1775664230.750396,Good Posture,168
1775664230.836617,Good Posture,168
1775664230.914656,Good Posture,168
1775664230.98179,Good Posture,168
1775664231.054316,Good Posture,169
1775664231.1477509,Good Posture,168
1775664231.214111,Good Posture,166
1775664231.280509,Good Posture,169
1775664231.34743,Good Posture,170
1775664231.413069,Good Posture,170
1775664231.4815612,Good Posture,169
1775664231.546731,Good Posture,169
1775664231.613469,Good Posture,169
1775664231.6804721,Good Posture,170
1775664231.7491899,Good Posture,168
1775664231.8141172,Good Posture,167
1775664231.881372,Good Posture,167
1775664231.947809,Good Posture,167
1775664232.015442,Good Posture,167
1775664232.0823061,Good Posture,167
1775664232.148452,Good Posture,167
1775664232.2146912,Good Posture,167
1775664232.282144,Good Posture,167
1775664232.3476028,Good Posture,167
1775664232.4169102,Good Posture,165
1775664232.480997,Good Posture,166
1775664232.547293,Good Posture,165
1775664232.6169732,Slouching,164
1775664232.6822278,Slouching,164
1775664232.7484422,Slouching,164
1775664232.8151522,Good Posture,165
1775664232.8824,Good Posture,166
1775664232.9500391,Good Posture,167
1775664233.013816,Good Posture,167
1775664233.083971,Good Posture,166
1775664233.1475,Good Posture,166
1775664233.217099,Good Posture,165
1775664233.2822971,Good Posture,165
1775664233.348576,Good Posture,166
1775664233.4135091,Good Posture,165
1775664233.482507,Good Posture,165
1775664233.548623,Good Posture,165
1775664233.6138291,Slouching,164
1775664233.680204,Slouching,164
1775664233.750674,Slouching,164
1775664233.847853,Slouching,164
1775664233.914077,Slouching,164
1775664233.980816,Slouching,164
1775664234.049391,Slouching,163
1775664234.116956,Slouching,163
1775664234.1824331,Slouching,164
1775664234.250344,Good Posture,166
1775664234.314292,Good Posture,165
1775664234.380853,Good Posture,165
1775664234.447259,Good Posture,165
1775664234.5137799,Good Posture,166
1775664234.580557,Good Posture,165
1775664234.6473658,Good Posture,165
1775664234.7171898,Good Posture,165
1775664234.784095,Good Posture,165
1775664234.8479402,Good Posture,165
1775664234.917873,Good Posture,165
1775664234.9847739,Good Posture,165
1775664235.050281,Good Posture,166
1775664235.1161458,Good Posture,165
1775664235.1857128,Good Posture,165
1775664235.249551,Good Posture,166
1775664235.317375,Good Posture,167
1775664235.382446,Good Posture,169
1775664235.4497201,Good Posture,170
1775664235.516798,Good Posture,173
1775664235.5834298,Good Posture,175
1775664235.650795,Good Posture,177
1775664235.716707,Good Posture,179
1775664235.7841542,Good Posture,178
1775664235.848833,Good Posture,178
1775664235.9179,Good Posture,179
1775664235.9834628,Good Posture,179
1775664236.051341,Good Posture,178
1775664236.117087,Good Posture,179
1775664236.183369,Good Posture,179
1775664236.248739,Good Posture,178
1775664236.315208,Good Posture,177
1775664236.383295,Good Posture,177
1775664236.4485161,Good Posture,178
1775664236.515456,Good Posture,179
1775664236.585151,Good Posture,179
1775664236.649554,Good Posture,179
1775664236.717094,Good Posture,179
1775664236.784683,Good Posture,179
1775664236.884164,Good Posture,178
1775664236.9517398,Good Posture,178
1775664237.051574,Good Posture,178
1775664237.117169,Good Posture,178
1775664237.1857011,Good Posture,178
1775664237.2498848,Good Posture,178
1775664237.319016,Good Posture,178
1775664237.383548,Good Posture,178
1775664237.4523919,Good Posture,178
1775664237.517714,Good Posture,178
1775664237.5862541,Good Posture,178
1775664237.651051,Good Posture,179
1775664237.718066,Good Posture,179
1775664237.784906,Good Posture,178
1775664237.8511438,Good Posture,178
1775664237.920255,Good Posture,179
1775664237.983875,Good Posture,179
1775664238.055893,Good Posture,179
1775664238.153464,Good Posture,178
1775664238.217591,Good Posture,178
1775664238.2864199,Good Posture,178
1775664238.350831,Good Posture,178
1775664238.4201448,Good Posture,178
1775664238.483851,Good Posture,178
1775664238.5529852,Good Posture,178
1775664238.6180182,Good Posture,178
1775664238.685992,Good Posture,178
1775664238.751183,Good Posture,178
1775664238.819968,Good Posture,178
1775664238.884494,Good Posture,178
1775664238.953588,Good Posture,179
1775664239.017793,Good Posture,178
1775664239.086426,Good Posture,178
1775664239.152144,Good Posture,179
1775664239.218581,Good Posture,178
1775664239.295088,Good Posture,177
1775664239.411826,Good Posture,177
1775664239.4955368,Good Posture,175
1775664239.5938828,Good Posture,178
1775664239.693046,Good Posture,169
1775664239.784329,Good Posture,167
1775664239.851773,Good Posture,168
1775664239.918559,Good Posture,170
1775664239.986348,Good Posture,168
1775664240.0518131,Good Posture,169
1775664240.120707,Good Posture,171
1775664240.1847239,Good Posture,171
1775664240.25743,Good Posture,170
1775664240.352107,Good Posture,168
1775664240.422064,Good Posture,169
1775664240.485454,Good Posture,169
1775664240.554053,Good Posture,169
1775664240.618477,Good Posture,170
1775664240.687476,Good Posture,170
1775664240.752555,Good Posture,170
1775664240.821158,Good Posture,170
1775664240.8852448,Good Posture,170
1775664240.954817,Good Posture,170
1775664241.020545,Good Posture,170
1775664241.085345,Good Posture,170
1775664241.154527,Good Posture,170
1775664241.21947,Good Posture,170
1775664241.287669,Good Posture,170
1775664241.3525052,Good Posture,170
1775664241.421379,Good Posture,170
1775664241.4862862,Good Posture,170
1775664241.552094,Good Posture,170
1775664241.6216419,Good Posture,171
1775664241.696064,Good Posture,171
1775664241.787266,Good Posture,170
1775664241.854361,Good Posture,170
1775664241.9192781,Good Posture,170
1775664241.988269,Good Posture,170
1775664242.053925,Good Posture,170
1775664242.11934,Good Posture,169
1775664242.1883311,Good Posture,169
1775664242.252979,Good Posture,169
1775664242.319277,Good Posture,168
1775664242.3876119,Good Posture,169
1775664242.456366,Good Posture,169
1775664242.55634,Good Posture,169
1775664242.6534011,Good Posture,169
1775664242.718784,Good Posture,170
1775664242.78615,Good Posture,170
1775664242.853024,Good Posture,170
1775664242.918966,Good Posture,170
1775664242.985782,Good Posture,170
1775664243.0522418,Good Posture,170
1775664243.119336,Good Posture,170
1775664243.190196,Good Posture,169
1775664243.2951,Good Posture,169
1775664243.3874428,Good Posture,169
1775664243.4527628,Good Posture,169
1775664243.5222578,Good Posture,169
1775664243.597899,Good Posture,169
1775664243.687904,Good Posture,170
1775664243.755612,Good Posture,170
1775664243.8549361,Good Posture,170
1775664243.919868,Good Posture,170
1775664243.98688,Good Posture,170
1775664244.053484,Good Posture,170
1775664244.121193,Good Posture,171
1775664244.189456,Good Posture,171
1775664244.252919,Good Posture,171
1775664244.323601,Good Posture,170
1775664244.4216928,Good Posture,170
1775664244.48576,Good Posture,170
1775664244.553853,Good Posture,170
1775664244.620342,Good Posture,170
1775664244.687266,Good Posture,170
1775664244.7565901,Good Posture,170
1775664244.855755,Good Posture,170
